id,node,capacity (MW),offer ($/MW),type
A3627_8,North,3.0999999999999943,21.33,inflexible
A3628_0,North,55.0,30.23,inflexible
A3628_1,North,3.1000000000000014,30.39,inflexible
A3628_2,North,3.1000000000000014,30.56,inflexible
A3628_3,North,3.0999999999999943,30.72,inflexible
A3628_4,North,3.1000000000000085,30.88,inflexible
A3628_5,North,3.0999999999999943,31.05,inflexible
A3628_6,North,3.0999999999999943,31.21,inflexible
A3628_7,North,3.1000000000000085,31.37,inflexible
A3628_8,North,3.0999999999999943,31.54,inflexible
A3629_0,North,55.0,29.33,inflexible
A3629_1,North,3.1000000000000014,29.5,inflexible
A3629_2,North,3.1000000000000014,29.67,inflexible
A3629_3,North,3.0999999999999943,29.83,inflexible
A3629_4,North,3.1000000000000085,30.0,inflexible
A3629_5,North,3.0999999999999943,30.17,inflexible
A3629_6,North,3.0999999999999943,30.34,inflexible
A3629_7,North,3.1000000000000085,30.5,inflexible
A3629_8,North,3.0999999999999943,30.67,inflexible
A3630_0,North,15.0,195.23,flexible
A3630_1,North,0.5,197.45,flexible
A3630_2,North,0.5,199.67,flexible
A3630_3,North,0.5,201.89,flexible
A3630_4,North,0.5,204.1,flexible
A3630_5,North,0.5,206.32,flexible
A3630_6,North,0.5,208.54,flexible
A3630_7,North,0.5,210.76,flexible
A3630_8,North,0.8999999999999986,214.75,flexible
A3634_0,North,6.0,178.75,flexible
A3634_1,North,1.4000000000000004,183.25,flexible
A3639_0,North,0.1,302.9,flexible
A3639_1,North,6.7,305.98,flexible
A3639_2,North,6.7,309.06,flexible
A3639_3,North,6.699999999999999,312.13,flexible
A3639_4,North,6.699999999999999,315.21,flexible
A3639_5,North,6.700000000000003,318.29,flexible
A3639_6,North,6.699999999999996,321.37,flexible
A3639_7,North,6.700000000000003,324.45,flexible
A3639_8,North,6.799999999999997,327.57,flexible
A3644_0,Central,40.0,18.57,inflexible
A3644_1,Central,745.0,18.95,inflexible
A3645,Central,93.0,19.4,inflexible
A3646,Central,93.0,19.01,inflexible
A3647,Central,93.0,19.46,inflexible
A3652_0,Central,30.0,18.23,inflexible
A3652_1,Central,7.5,18.76,inflexible
A3652_2,Central,7.5,19.28,inflexible
A3652_3,Central,7.5,19.81,inflexible
A3652_4,Central,7.5,20.33,inflexible
A3652_5,Central,7.5,20.85,inflexible
A3652_6,Central,7.5,21.38,inflexible
A3652_7,Central,7.5,21.9,inflexible
A3652_8,Central,7.5,22.42,inflexible
A3653_0,Central,220.0,18.65,inflexible
A3653_1,Central,22.19999999999999,18.75,inflexible
A3653_2,Central,22.19999999999999,18.85,inflexible
A3653_3,Central,22.200000000000045,18.95,inflexible
A3653_4,Central,22.19999999999999,19.05,inflexible
A3653_5,Central,22.19999999999999,19.14,inflexible
A3653_6,Central,22.19999999999999,19.24,inflexible
A3653_7,Central,22.19999999999999,19.34,inflexible
A3653_8,Central,22.200000000000045,19.44,inflexible
A3654_0,Central,70.2,21.94,inflexible
A3654_1,Central,4.200000000000003,22.7,inflexible
A3654_2,Central,4.199999999999989,23.68,inflexible
A3655_0,Central,70.2,21.96,inflexible
A3655_1,Central,4.200000000000003,22.72,inflexible
A3655_2,Central,4.199999999999989,23.71,inflexible
A3657,Central,32.0,380.0,flexible
A3666_0,Central,23.0,22.07,inflexible
A3666_1,Central,22.0,26.32,inflexible
A3667_0,Central,23.0,22.07,inflexible
A3667_1,Central,22.0,26.32,inflexible
A3668_0,Central,23.0,22.07,inflexible
A3668_1,Central,22.0,26.32,inflexible
A3669_0,Central,23.0,22.07,inflexible
A3669_1,Central,22.0,26.32,inflexible
A3670_0,Central,23.0,22.07,inflexible
A3670_1,Central,22.0,26.32,inflexible
A3671_0,Central,23.0,22.07,inflexible
A3671_1,Central,22.0,26.32,inflexible
A3675_0,Central,25.0,33.68,inflexible
A3675_1,Central,4.0,34.01,inflexible
A3675_2,Central,4.0,34.33,inflexible
A3675_3,Central,3.0,34.65,inflexible
A3675_4,Central,4.0,34.97,inflexible
A3676_0,Central,25.0,33.68,inflexible
A3676_1,Central,4.0,34.01,inflexible
A3676_2,Central,4.0,34.33,inflexible
A3676_3,Central,3.0,34.65,inflexible
A3676_4,Central,4.0,34.97,inflexible
A3681,Central,48.0,63.99,flexible
A3682,Central,49.0,64.0,flexible
A3695_0,Central,75.0,24.12,inflexible
A3695_1,Central,6.0,24.34,inflexible
A3695_2,Central,6.0,24.57,inflexible
A3695_3,Central,6.0,24.81,inflexible
A3695_4,Central,7.0,25.1,inflexible
A3695_5,Central,1.0,25.15,inflexible
A3695_6,Central,9.0,25.54,inflexible
A3706,Central,200.0,0.0,wind
A3721_0,North,100.0,17.78,inflexible
A3721_1,North,16.0,18.12,inflexible
A3721_2,North,16.0,18.46,inflexible
A3721_3,North,16.0,18.8,inflexible
A3721_4,North,16.0,19.15,inflexible
A3721_5,North,16.0,19.49,inflexible
A3721_6,North,16.0,19.83,inflexible
A3721_7,North,16.0,20.17,inflexible
A3726_0,Central,33.5,16.0,inflexible
A3726_1,Central,0.1000000000000014,75.0,flexible
A3727_0,Central,33.5,38.0,inflexible
A3727_1,Central,0.1000000000000014,75.0,flexible
A3728_0,Central,33.5,38.0,inflexible
A3728_1,Central,0.1000000000000014,75.0,flexible
A3729_0,Central,33.5,38.0,inflexible
A3729_1,Central,0.1000000000000014,75.0,flexible
A3730_0,North,13.0,99.71,flexible
A3730_1,North,2.6,101.65,flexible
A3730_2,North,2.6,103.58,flexible
A3730_3,North,2.6999999999999997,105.51,flexible
A3730_4,North,2.6000000000000014,107.44,flexible
A3730_5,North,2.6000000000000014,109.37,flexible
A3730_6,North,2.6999999999999997,111.3,flexible
