id,node,capacity (MW),offer ($/MW)
A3666_1,Central,22.0,26.32
A3667_0,Central,23.0,22.07
A3667_1,Central,22.0,26.32
A3668_0,Central,23.0,22.07
A3668_1,Central,22.0,26.32
A3669_0,Central,23.0,22.07
A3669_1,Central,22.0,26.32
A3670_0,Central,23.0,22.07
A3670_1,Central,22.0,26.32
A3671_0,Central,23.0,22.07
A3671_1,Central,22.0,26.32
A3675_0,Central,25.0,33.68
A3675_1,Central,4.0,34.01
A3675_2,Central,4.0,34.33
A3675_3,Central,3.0,34.65
A3675_4,Central,4.0,34.97
A3676_0,Central,25.0,33.68
A3676_1,Central,4.0,34.01
A3676_2,Central,4.0,34.33
A3676_3,Central,3.0,34.65
A3676_4,Central,4.0,34.97
A3681,Central,48.0,63.99
A3682,Central,49.0,64.0
A3695_0,Central,75.0,24.12
A3695_1,Central,6.0,24.34
A3695_2,Central,6.0,24.57
A3695_3,Central,6.0,24.81
A3695_4,Central,7.0,25.1
A3695_5,Central,1.0,25.15
A3695_6,Central,9.0,25.54
A3706,Central,200.0,0.0
A3721_0,North,100.0,17.78
A3721_1,North,16.0,18.12
A3721_2,North,16.0,18.46
A3721_3,North,16.0,18.8
A3721_4,North,16.0,19.15
A3721_5,North,16.0,19.49
A3721_6,North,16.0,19.83
A3721_7,North,16.0,20.17
A3726_0,Central,33.5,16.0
A3726_1,Central,0.10000000000000142,75.0
A3727_0,Central,33.5,38.0
A3727_1,Central,0.10000000000000142,75.0
A3728_0,Central,33.5,38.0
A3728_1,Central,0.10000000000000142,75.0
A3729_0,Central,33.5,38.0
A3729_1,Central,0.10000000000000142,75.0
A3730_0,North,13.0,99.71
A3730_1,North,2.5999999999999996,101.65
A3730_2,North,2.5999999999999996,103.58
A3730_3,North,2.6999999999999993,105.51
A3730_4,North,2.6000000000000014,107.44
A3730_5,North,2.6000000000000014,109.37
A3730_6,North,2.6999999999999993,111.3
A3730_7,North,2.599999999999998,113.24
A3731_0,North,13.0,98.05
A3731_1,North,2.5999999999999996,99.92
A3731_2,North,2.5999999999999996,101.79
A3731_3,North,2.6999999999999993,103.66
A3731_4,North,2.6000000000000014,105.53
A3731_5,North,2.6000000000000014,107.4
A3731_6,North,2.6999999999999993,109.27
A3731_7,North,2.599999999999998,111.14
A3736_0,Central,50.0,43.05
A3736_1,Central,8.0,43.27
A3736_2,Central,7.0,43.48
A3736_3,Central,8.0,43.7
A3736_4,Central,7.0,43.91
A3738_0,Central,50.0,43.05
A3738_1,Central,8.0,43.27
A3738_2,Central,7.0,43.48
A3738_3,Central,8.0,43.7
A3738_4,Central,7.0,43.91
A3739_0,Central,50.0,43.05
A3739_1,Central,8.0,43.27
A3739_2,Central,7.0,43.48
A3739_3,Central,8.0,43.7
A3739_4,Central,7.0,43.91
A3740_0,Central,50.0,43.05
A3740_1,Central,8.0,43.27
A3740_2,Central,7.0,43.48
A3740_3,Central,8.0,43.7
A3740_4,Central,7.0,43.91
A3754_0,North,8.0,30.15
A3754_1,North,4.0,31.0
A3754_2,North,4.0,31.05
A3754_3,North,4.0,31.1
A3754_4,North,5.0,31.2
A3755_0,North,10.0,30.0
A3755_1,North,2.0,30.05
A3755_2,North,7.0,30.1
A3755_3,North,4.0,30.15
A3755_4,North,4.0,30.2
A3755_5,North,4.0,30.25
A3755_6,North,4.0,30.3
A3755_7,North,4.0,30.35
A3756_0,North,8.0,43.0
A3756_1,North,4.0,43.05
A3756_2,North,3.0,43.1
A3756_3,North,3.0,43.15
A3756_4,North,2.0,43.2
A3757_0,North,50.0,48.0
A3757_1,North,10.0,48.05
A3757_2,North,10.0,48.1
A3758_0,North,23.0,23.9
A3758_1,North,1.0,23.95
A3758_2,North,4.0,48.0
A3758_3,North,4.0,48.05
A3758_4,North,2.0,48.1
A3758_5,North,2.0,48.15
A3758_6,North,2.0,48.2
A3758_7,North,2.0,48.6
A3759_0,North,8.0,32.5
A3759_1,North,2.0,32.55
A3759_2,North,3.0,32.6
A3759_3,North,4.0,32.65
A3759_4,North,1.0,32.7
A3759_5,North,2.0,32.75
A3759_6,North,3.0,32.8
A3762,Central,10.5,0.0
A3763_0,Central,0.1,15.85
A3763_1,Central,24.9,16.57
A3763_2,Central,10.0,16.86
A3763_3,Central,10.0,17.15
A3763_4,Central,10.0,17.44
A3763_5,Central,10.0,17.73
A3763_6,Central,10.0,18.02
A3763_7,Central,10.0,18.3
A3763_8,Central,10.0,18.59
A3789,Central,783.0,17.71
A3790,Central,762.0,17.55
A3791,Central,12.5,92.29
A3799_0,North,150.0,20.62
A3799_1,North,50.0,20.63
A3799_2,North,40.0,20.72
A3799_3,North,60.0,20.85
A3799_4,North,50.0,20.96
A3802,North,1.0,0.01
A3803_0,North,10.0,27.77
A3803_1,North,5.0,28.12
A3803_2,North,5.0,28.79
A3803_3,North,5.0,29.57
A3803_4,North,1.0,40.38
A3803_5,North,4.0,40.99
