Region,Unit Code,Date/Time Beginning (EST),Date/Time End (EST),Economic Max,Economic Min,Emergency Max,Emergency Min,Economic Flag,Emergency Flag,Must Run Flag,Unit Available Flag,Self Scheduled MW,Target MW Reduction,MW,Curtailment Offer Price,Price1,MW1,Price2,MW2,Price3,MW3,Price4,MW4,Price5,MW5,Price6,MW6,Price7,MW7,Price8,MW8,Price9,MW9,Price10,MW10,Slope
Central,A3576,10/07/2020 00:00:00,10/07/2020 01:00:00,18,10,18,10,1,0,0,1,0,,0,,227.16,10,227.16,18,,,,,,,,,,,,,,,,,1
Central,A3582,10/07/2020 00:00:00,10/07/2020 01:00:00,1155,1155,1155,1155,0,0,1,1,0,,1155,,5.21,150,5.55,1160,,,,,,,,,,,,,,,,,0
Central,A3588,10/07/2020 00:00:00,10/07/2020 01:00:00,14,14,14,14,0,0,0,0,0,,0,,148.07,19,,,,,,,,,,,,,,,,,,,0
Central,A3589,10/07/2020 00:00:00,10/07/2020 01:00:00,14,14,14,14,0,1,0,1,0,,0,,148.07,19,,,,,,,,,,,,,,,,,,,0
Central,A3590,10/07/2020 00:00:00,10/07/2020 01:00:00,13,13,13,13,0,0,0,0,0,,0,,148.05,18,,,,,,,,,,,,,,,,,,,0
Central,A3593,10/07/2020 00:00:00,10/07/2020 01:00:00,140,65,140,65,1,0,0,1,0,,0,,60.42,0,63.63,65,64.56,84,65.49,103,66.42,121,67.34,140,,,,,,,,,1
Central,A3595,10/07/2020 00:00:00,10/07/2020 01:00:00,140,65,140,65,1,0,0,1,0,,0,,61.24,0,64.53,65,65.49,84,66.44,103,67.39,121,68.34,140,,,,,,,,,1
Central,A3601,10/07/2020 00:00:00,10/07/2020 01:00:00,77,45,77,45,1,0,0,1,45,,0,,19.86,45,19.86,49.2,19.86,53.4,19.86,57.6,19.86,61.8,19.86,66,19.86,70.2,20.56,74.4,21.46,78.6,22.56,82.8,1
Central,A3606,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,15.29,0,15.86,200,16.17,309,16.48,418,16.94,580,24.73,635,,,,,,,,,1
Central,A3607,10/07/2020 00:00:00,10/07/2020 01:00:00,500,485,500,485,0,0,1,1,0,,485,,15.54,0,16.12,200,16.44,309,16.75,418,17.22,580,25.01,635,,,,,,,,,1
Central,A3608,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,16,0,16.59,200,16.92,309,17.24,418,17.73,580,25.52,635,,,,,,,,,1
Central,A3609,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,15.03,0,15.62,200,15.93,307,16.25,414,16.74,580,25.81,627,,,,,,,,,1
Central,A3610,10/07/2020 00:00:00,10/07/2020 01:00:00,318.8,150,318.8,150,0,0,1,1,0,,157.5,,15.04,0,15.52,150,15.78,230,16.03,309,16.43,435,30.49,469,,,,,,,,,1
Central,A3611,10/07/2020 00:00:00,10/07/2020 01:00:00,17.7,5,17.7,5,0,1,0,1,0,,0,,132.41,5,132.99,17.7,,,,,,,,,,,,,,,,,0
North,A3615,10/07/2020 00:00:00,10/07/2020 01:00:00,20.2,15,20.7,15,1,0,0,1,0,,0,,193.44,15,196.08,15.6,198.71,16.2,201.34,16.8,203.98,17.4,206.61,18,209.24,18.6,211.88,19.2,216.27,20.2,216.71,20.3,1
North,A3619,10/07/2020 00:00:00,10/07/2020 01:00:00,2,2,5,2,0,0,0,0,0,,0,,346.97,2,,,,,,,,,,,,,,,,,,,0
North,A3624,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,0,0,0,0,0,,0,,37.45,55,37.66,58.1,37.87,61.2,38.08,64.3,38.29,67.4,38.5,70.5,38.71,73.6,38.92,76.7,39.14,79.8,246.21,79.9,1
North,A3625,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,0,0,0,0,0,,0,,36.35,55,36.53,58.1,36.72,61.2,36.9,64.3,37.08,67.4,37.26,70.5,37.44,73.6,37.62,76.7,37.8,79.8,244.87,79.9,1
North,A3626,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,1,0,0,1,0,,0,,20.31,55,20.5,58.1,20.68,61.2,20.87,64.3,21.05,67.4,21.24,70.5,21.42,73.6,21.61,76.7,21.79,79.8,244.87,79.9,1
North,A3627,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,1,0,0,1,0,,0,,19.66,55,19.87,58.1,20.08,61.2,20.28,64.3,20.49,67.4,20.7,70.5,20.91,73.6,21.12,76.7,21.33,79.8,246.21,79.9,1
North,A3628,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,1,0,0,1,0,,0,,30.23,55,30.39,58.1,30.56,61.2,30.72,64.3,30.88,67.4,31.05,70.5,31.21,73.6,31.37,76.7,31.54,79.8,238.61,79.9,1
North,A3629,10/07/2020 00:00:00,10/07/2020 01:00:00,79.8,55,87.8,55,1,0,0,1,0,,0,,29.33,55,29.5,58.1,29.67,61.2,29.83,64.3,30,67.4,30.17,70.5,30.34,73.6,30.5,76.7,30.67,79.8,237.74,79.9,1
North,A3630,10/07/2020 00:00:00,10/07/2020 01:00:00,19.4,15,19.9,15,1,0,0,1,0,,0,,195.23,15,197.45,15.5,199.67,16,201.89,16.5,204.1,17,206.32,17.5,208.54,18,210.76,18.5,214.75,19.4,215.19,19.5,1
North,A3634,10/07/2020 00:00:00,10/07/2020 01:00:00,6.1,6.1,7,6.1,1,0,0,1,0,,0,,178.75,6,183.25,7.4,,,,,,,,,,,,,,,,,1
North,A3635,10/07/2020 00:00:00,10/07/2020 01:00:00,156,80,156,80,0,0,0,0,0,,0,,20.04,80,20.43,88.4,20.82,96.8,21.21,105.2,21.6,113.6,21.99,122,22.38,130.4,22.77,138.8,23.16,147.2,23.57,156,1
North,A3636,10/07/2020 00:00:00,10/07/2020 01:00:00,156,80,156,80,0,0,0,0,0,,0,,30.43,80,30.77,88.4,31.11,96.8,31.45,105.2,31.79,113.6,32.13,122,32.47,130.4,32.81,138.8,33.15,147.2,33.51,156,1
North,A3637,10/07/2020 00:00:00,10/07/2020 01:00:00,110,80,122,80,0,0,0,0,0,,0,,35.08,80,35.33,83.8,35.58,87.6,35.83,91.4,36.08,95.2,36.33,99,36.59,102.8,36.84,106.6,37.06,110,217.42,110.1,1
North,A3639,10/07/2020 00:00:00,10/07/2020 01:00:00,53.8,0.1,56.7,0.1,0,0,1,1,0,,0.1,,302.9,0.1,305.98,6.8,309.06,13.5,312.13,20.2,315.21,26.9,318.29,33.6,321.37,40.3,324.45,47,327.57,53.8,500.03,53.9,1
Central,A3644,10/07/2020 00:00:00,10/07/2020 01:00:00,785,40,793,40,1,0,0,1,0,,40,,18.57,40,18.95,785,,,,,,,,,,,,,,,,,0
Central,A3645,10/07/2020 00:00:00,10/07/2020 01:00:00,81,51,81,51,1,0,0,1,0,,0,,19.4,51,19.4,93,,,,,,,,,,,,,,,,,0
Central,A3646,10/07/2020 00:00:00,10/07/2020 01:00:00,80,51,80,51,1,0,0,1,0,,0,,19.01,50,19.01,93,,,,,,,,,,,,,,,,,0
Central,A3647,10/07/2020 00:00:00,10/07/2020 01:00:00,80,51,80,51,1,0,0,1,0,,0,,19.46,55,19.46,93,,,,,,,,,,,,,,,,,0
Central,A3651,10/07/2020 00:00:00,10/07/2020 01:00:00,95,30,99,25,0,0,0,0,54,,0,,18.23,30,18.77,37.7,19.31,45.4,19.85,53.1,20.38,60.8,20.92,68.5,21.46,76.2,22,83.9,22.54,91.6,23.07,99.3,1
Central,A3652,10/07/2020 00:00:00,10/07/2020 01:00:00,95,30,100,25,1,0,0,1,54,,30,,18.23,30,18.76,37.5,19.28,45,19.81,52.5,20.33,60,20.85,67.5,21.38,75,21.9,82.5,22.42,90,22.95,97.5,1
Central,A3653,10/07/2020 00:00:00,10/07/2020 01:00:00,415,110,423,80,1,0,0,1,100,,110,,18.65,220,18.75,242.2,18.85,264.4,18.95,286.6,19.05,308.8,19.14,331,19.24,353.2,19.34,375.4,19.44,397.6,19.54,419.8,1
Central,A3654,10/07/2020 00:00:00,10/07/2020 01:00:00,75,45,75,26,1,0,0,1,45,,0,,21.94,45,21.94,49.2,21.94,53.4,21.94,57.6,21.94,61.8,21.94,66,21.94,70.2,22.7,74.4,23.68,78.6,24.89,82.8,1
Central,A3655,10/07/2020 00:00:00,10/07/2020 01:00:00,77,45,77,26,1,0,0,1,45,,0,,21.96,45,21.96,49.2,21.96,53.4,21.96,57.6,21.96,61.8,21.96,66,21.96,70.2,22.72,74.4,23.71,78.6,24.91,82.8,1
Central,A3656,10/07/2020 00:00:00,10/07/2020 01:00:00,153,115,153,115,0,0,0,0,110,,0,,16.65,100,16.65,106.6,16.65,113.2,16.74,119.8,17.52,126.4,18.67,133,20.19,139.6,22.09,146.2,24.36,152.8,27.01,159.4,1
Central,A3657,10/07/2020 00:00:00,10/07/2020 01:00:00,38,10,38,10,0,1,0,1,0,,0,,380,10,380,16,380,32,,,,,,,,,,,,,,,1
Central,A3666,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3667,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3668,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3669,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3670,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3671,10/07/2020 00:00:00,10/07/2020 01:00:00,45,23,45,22,1,0,0,1,0,,0,,22.07,23,26.32,45,,,,,,,,,,,,,,,,,0
Central,A3674,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,31.54,0,33.68,25,34.01,29,34.33,33,34.65,36,34.97,40,,,,,,,,,1
Central,A3675,10/07/2020 00:00:00,10/07/2020 01:00:00,40,25,40,25,1,0,0,1,0,,0,,31.54,0,33.68,25,34.01,29,34.33,33,34.65,36,34.97,40,,,,,,,,,1
Central,A3676,10/07/2020 00:00:00,10/07/2020 01:00:00,40,25,40,25,1,0,0,1,0,,0,,31.54,0,33.68,25,34.01,29,34.33,33,34.65,36,34.97,40,,,,,,,,,1
Central,A3677,10/07/2020 00:00:00,10/07/2020 01:00:00,18,18,18,18,0,0,0,0,0,,0,,64.65,18,,,,,,,,,,,,,,,,,,,0
Central,A3679,10/07/2020 00:00:00,10/07/2020 01:00:00,22,22,22,22,0,0,0,0,0,,0,,64.68,22,,,,,,,,,,,,,,,,,,,0
Central,A3681,10/07/2020 00:00:00,10/07/2020 01:00:00,42,42,42,42,1,0,0,1,0,,0,,63.99,48,,,,,,,,,,,,,,,,,,,0
Central,A3682,10/07/2020 00:00:00,10/07/2020 01:00:00,42,42,42,42,1,0,0,1,0,,0,,64,49,,,,,,,,,,,,,,,,,,,0
Central,A3695,10/07/2020 00:00:00,10/07/2020 01:00:00,100,75,112.6,66,1,0,0,1,0,,0,,24.12,75,24.34,81,24.57,87,24.81,93,25.1,100,25.15,101,25.54,110,,,,,,,1
Central,A3706,10/07/2020 00:00:00,10/07/2020 01:00:00,7,0,7,0,0,0,1,1,2.5,,7,,0,0,0,200,,,,,,,,,,,,,,,,,1
Central,A3708,10/07/2020 00:00:00,10/07/2020 01:00:00,72,70,73,60,0,0,0,0,0,,0,,1.13,70,50,73,,,,,,,,,,,,,,,,,0
